--------------------   Cyclic Coordinate   --------------------

+-----+------------------------+---+---------+------------------------+-----------+------------------------+
|  k  |         x f(x)         | j |    d    |          y(j)          |   landa   |         y(j+1)         |
| 105 |       -27.438149       | 2 | (0 , 1) | (6.548646 , 33.538973) | -0.002122 | (6.548646 , 33.536851) |
| 106 | (6.548646 , 33.536851) | 1 | (1 , 0) | (6.548646 , 33.536851) | -0.000366 | (6.548280 , 33.536851) |
| 106 |       -27.438184       | 2 | (0 , 1) | (6.548280 , 33.536851) | -0.001682 | (6.548280 , 33.535169) |
| 107 | (6.548280 , 33.535169) | 1 | (1 , 0) | (6.548280 , 33.535169) | -0.000366 | (6.547914 , 33.535169) |
| 107 |       -27.438220       | 2 | (0 , 1) | (6.547914 , 33.535169) | -0.001682 | (6.547914 , 33.533488) |
| 108 | (6.547914 , 33.533488) | 1 | (1 , 0) | (6.547914 , 33.533488) | -0.000366 | (6.547549 , 33.533488) |
| 108 |       -27.438255       | 2 | (0 , 1) | (6.547549 , 33.533488) | -0.002122 | (6.547549 , 33.531365) |
| 109 | (6.547549 , 33.531365) | 1 | (1 , 0) | (6.547549 , 33.531365) | -0.000366 | (6.547183 , 33.531365) |
| 109 |       -27.438290       | 2 | (0 , 1) | (6.547183 , 33.531365) | -0.001682 | (6.547183 , 33.529683) |
| 110 | (6.547183 , 33.529683) | 1 | (1 , 0) | (6.547183 , 33.529683) | -0.000366 | (6.546817 , 33.529683) |
| 110 |       -27.438325       | 2 | (0 , 1) | (6.546817 , 33.529683) | -0.001682 | (6.546817 , 33.528002) |
| 111 | (6.546817 , 33.528002) | 1 | (1 , 0) | (6.546817 , 33.528002) | -0.000366 | (6.546452 , 33.528002) |
| 111 |       -27.438359       | 2 | (0 , 1) | (6.546452 , 33.528002) | -0.002122 | (6.546452 , 33.525879) |
| 112 | (6.546452 , 33.525879) | 1 | (1 , 0) | (6.546452 , 33.525879) | -0.000366 | (6.546086 , 33.525879) |
| 112 |       -27.438393       | 2 | (0 , 1) | (6.546086 , 33.525879) | -0.001682 | (6.546086 , 33.524198) |
| 113 | (6.546086 , 33.524198) | 1 | (1 , 0) | (6.546086 , 33.524198) | -0.000366 | (6.545720 , 33.524198) |
| 113 |       -27.438427       | 2 | (0 , 1) | (6.545720 , 33.524198) | -0.001682 | (6.545720 , 33.522516) |
| 114 | (6.545720 , 33.522516) | 1 | (1 , 0) | (6.545720 , 33.522516) | -0.000366 | (6.545355 , 33.522516) |
| 114 |       -27.438460       | 2 | (0 , 1) | (6.545355 , 33.522516) | -0.002122 | (6.545355 , 33.520394) |
| 115 | (6.545355 , 33.520394) | 1 | (1 , 0) | (6.545355 , 33.520394) | -0.000366 | (6.544989 , 33.520394) |
| 115 |       -27.438494       | 2 | (0 , 1) | (6.544989 , 33.520394) | -0.001682 | (6.544989 , 33.518712) |
| 116 | (6.544989 , 33.518712) | 1 | (1 , 0) | (6.544989 , 33.518712) | -0.000366 | (6.544623 , 33.518712) |
| 116 |       -27.438527       | 2 | (0 , 1) | (6.544623 , 33.518712) | -0.001682 | (6.544623 , 33.517030) |
| 117 | (6.544623 , 33.517030) | 1 | (1 , 0) | (6.544623 , 33.517030) | -0.000366 | (6.544258 , 33.517030) |
| 117 |       -27.438559       | 2 | (0 , 1) | (6.544258 , 33.517030) | -0.002122 | (6.544258 , 33.514908) |
| 118 | (6.544258 , 33.514908) | 1 | (1 , 0) | (6.544258 , 33.514908) | -0.000366 | (6.543892 , 33.514908) |
| 118 |       -27.438592       | 2 | (0 , 1) | (6.543892 , 33.514908) | -0.001682 | (6.543892 , 33.513226) |
| 119 | (6.543892 , 33.513226) | 1 | (1 , 0) | (6.543892 , 33.513226) | -0.000366 | (6.543526 , 33.513226) |
| 119 |       -27.438624       | 2 | (0 , 1) | (6.543526 , 33.513226) | -0.001682 | (6.543526 , 33.511544) |
| 120 | (6.543526 , 33.511544) | 1 | (1 , 0) | (6.543526 , 33.511544) | -0.000366 | (6.543161 , 33.511544) |
| 120 |       -27.438656       | 2 | (0 , 1) | (6.543161 , 33.511544) | -0.002122 | (6.543161 , 33.509422) |
| 121 | (6.543161 , 33.509422) | 1 | (1 , 0) | (6.543161 , 33.509422) | -0.000366 | (6.542795 , 33.509422) |
| 121 |       -27.438688       | 2 | (0 , 1) | (6.542795 , 33.509422) | -0.001682 | (6.542795 , 33.507740) |
| 122 | (6.542795 , 33.507740) | 1 | (1 , 0) | (6.542795 , 33.507740) | -0.000366 | (6.542429 , 33.507740) |
| 122 |       -27.438719       | 2 | (0 , 1) | (6.542429 , 33.507740) | -0.001682 | (6.542429 , 33.506059) |
| 123 | (6.542429 , 33.506059) | 1 | (1 , 0) | (6.542429 , 33.506059) | -0.000366 | (6.542064 , 33.506059) |
| 123 |       -27.438750       | 2 | (0 , 1) | (6.542064 , 33.506059) | -0.002122 | (6.542064 , 33.503936) |
| 124 | (6.542064 , 33.503936) | 1 | (1 , 0) | (6.542064 , 33.503936) | -0.000366 | (6.541698 , 33.503936) |
| 124 |       -27.438781       | 2 | (0 , 1) | (6.541698 , 33.503936) | -0.001682 | (6.541698 , 33.502255) |
| 125 | (6.541698 , 33.502255) | 1 | (1 , 0) | (6.541698 , 33.502255) | -0.000366 | (6.541332 , 33.502255) |
| 125 |       -27.438812       | 2 | (0 , 1) | (6.541332 , 33.502255) | -0.001682 | (6.541332 , 33.500573) |
| 126 | (6.541332 , 33.500573) | 1 | (1 , 0) | (6.541332 , 33.500573) | -0.000366 | (6.540967 , 33.500573) |
| 126 |       -27.438842       | 2 | (0 , 1) | (6.540967 , 33.500573) | -0.002122 | (6.540967 , 33.498451) |
| 127 | (6.540967 , 33.498451) | 1 | (1 , 0) | (6.540967 , 33.498451) | -0.000366 | (6.540601 , 33.498451) |
| 127 |       -27.438872       | 2 | (0 , 1) | (6.540601 , 33.498451) | -0.001682 | (6.540601 , 33.496769) |
| 128 | (6.540601 , 33.496769) | 1 | (1 , 0) | (6.540601 , 33.496769) | -0.000366 | (6.540235 , 33.496769) |
| 128 |       -27.438902       | 2 | (0 , 1) | (6.540235 , 33.496769) | -0.001682 | (6.540235 , 33.495087) |
| 129 | (6.540235 , 33.495087) | 1 | (1 , 0) | (6.540235 , 33.495087) | -0.000366 | (6.539870 , 33.495087) |
| 129 |       -27.438932       | 2 | (0 , 1) | (6.539870 , 33.495087) | -0.002122 | (6.539870 , 33.492965) |
| 130 | (6.539870 , 33.492965) | 1 | (1 , 0) | (6.539870 , 33.492965) | -0.000366 | (6.539504 , 33.492965) |
| 130 |       -27.438961       | 2 | (0 , 1) | (6.539504 , 33.492965) | -0.001682 | (6.539504 , 33.491283) |
| 131 | (6.539504 , 33.491283) | 1 | (1 , 0) | (6.539504 , 33.491283) | -0.000366 | (6.539138 , 33.491283) |
| 131 |       -27.438990       | 2 | (0 , 1) | (6.539138 , 33.491283) | -0.001682 | (6.539138 , 33.489601) |
| 132 | (6.539138 , 33.489601) | 1 | (1 , 0) | (6.539138 , 33.489601) | -0.000366 | (6.538773 , 33.489601) |
| 132 |       -27.439019       | 2 | (0 , 1) | (6.538773 , 33.489601) | -0.002122 | (6.538773 , 33.487479) |
| 133 | (6.538773 , 33.487479) | 1 | (1 , 0) | (6.538773 , 33.487479) | -0.000366 | (6.538407 , 33.487479) |
| 133 |       -27.439047       | 2 | (0 , 1) | (6.538407 , 33.487479) | -0.001682 | (6.538407 , 33.485797) |
| 134 | (6.538407 , 33.485797) | 1 | (1 , 0) | (6.538407 , 33.485797) | -0.000366 | (6.538041 , 33.485797) |
| 134 |       -27.439076       | 2 | (0 , 1) | (6.538041 , 33.485797) | -0.001682 | (6.538041 , 33.484115) |
| 135 | (6.538041 , 33.484115) | 1 | (1 , 0) | (6.538041 , 33.484115) | -0.000366 | (6.537676 , 33.484115) |
| 135 |       -27.439103       | 2 | (0 , 1) | (6.537676 , 33.484115) | -0.002122 | (6.537676 , 33.481993) |
| 136 | (6.537676 , 33.481993) | 1 | (1 , 0) | (6.537676 , 33.481993) | -0.000366 | (6.537310 , 33.481993) |
| 136 |       -27.439131       | 2 | (0 , 1) | (6.537310 , 33.481993) | -0.001682 | (6.537310 , 33.480311) |
| 137 | (6.537310 , 33.480311) | 1 | (1 , 0) | (6.537310 , 33.480311) | -0.000366 | (6.536944 , 33.480311) |
| 137 |       -27.439159       | 2 | (0 , 1) | (6.536944 , 33.480311) | -0.001682 | (6.536944 , 33.478630) |
| 138 | (6.536944 , 33.478630) | 1 | (1 , 0) | (6.536944 , 33.478630) | -0.000366 | (6.536579 , 33.478630) |
| 138 |       -27.439186       | 2 | (0 , 1) | (6.536579 , 33.478630) | -0.002122 | (6.536579 , 33.476507) |
| 139 | (6.536579 , 33.476507) | 1 | (1 , 0) | (6.536579 , 33.476507) | -0.000366 | (6.536213 , 33.476507) |
| 139 |       -27.439213       | 2 | (0 , 1) | (6.536213 , 33.476507) | -0.001682 | (6.536213 , 33.474826) |
| 140 | (6.536213 , 33.474826) | 1 | (1 , 0) | (6.536213 , 33.474826) | -0.000366 | (6.535847 , 33.474826) |
| 140 |       -27.439239       | 2 | (0 , 1) | (6.535847 , 33.474826) | -0.001682 | (6.535847 , 33.473144) |
| 141 | (6.535847 , 33.473144) | 1 | (1 , 0) | (6.535847 , 33.473144) | -0.000366 | (6.535482 , 33.473144) |
| 141 |       -27.439266       | 2 | (0 , 1) | (6.535482 , 33.473144) | -0.002122 | (6.535482 , 33.471022) |
| 142 | (6.535482 , 33.471022) | 1 | (1 , 0) | (6.535482 , 33.471022) | -0.000366 | (6.535116 , 33.471022) |
| 142 |       -27.439292       | 2 | (0 , 1) | (6.535116 , 33.471022) | -0.001682 | (6.535116 , 33.469340) |
| 143 | (6.535116 , 33.469340) | 1 | (1 , 0) | (6.535116 , 33.469340) | -0.000366 | (6.534750 , 33.469340) |
| 143 |       -27.439318       | 2 | (0 , 1) | (6.534750 , 33.469340) | -0.001682 | (6.534750 , 33.467658) |
| 144 | (6.534750 , 33.467658) | 1 | (1 , 0) | (6.534750 , 33.467658) | -0.000366 | (6.534385 , 33.467658) |
| 144 |       -27.439343       | 2 | (0 , 1) | (6.534385 , 33.467658) | -0.002122 | (6.534385 , 33.465536) |
| 145 | (6.534385 , 33.465536) | 1 | (1 , 0) | (6.534385 , 33.465536) | -0.000366 | (6.534019 , 33.465536) |
| 145 |       -27.439368       | 2 | (0 , 1) | (6.534019 , 33.465536) | -0.001682 | (6.534019 , 33.463854) |
| 146 | (6.534019 , 33.463854) | 1 | (1 , 0) | (6.534019 , 33.463854) | -0.000366 | (6.533653 , 33.463854) |
| 146 |       -27.439393       | 2 | (0 , 1) | (6.533653 , 33.463854) | -0.001682 | (6.533653 , 33.462172) |
| 147 | (6.533653 , 33.462172) | 1 | (1 , 0) | (6.533653 , 33.462172) | -0.000366 | (6.533288 , 33.462172) |
| 147 |       -27.439418       | 2 | (0 , 1) | (6.533288 , 33.462172) | -0.002122 | (6.533288 , 33.460050) |
| 148 | (6.533288 , 33.460050) | 1 | (1 , 0) | (6.533288 , 33.460050) | -0.000366 | (6.532922 , 33.460050) |
| 148 |       -27.439443       | 2 | (0 , 1) | (6.532922 , 33.460050) | -0.001682 | (6.532922 , 33.458368) |
| 149 | (6.532922 , 33.458368) | 1 | (1 , 0) | (6.532922 , 33.458368) | -0.000366 | (6.532556 , 33.458368) |
| 149 |       -27.439467       | 2 | (0 , 1) | (6.532556 , 33.458368) | -0.001682 | (6.532556 , 33.456687) |
| 150 | (6.532556 , 33.456687) | 1 | (1 , 0) | (6.532556 , 33.456687) | -0.000366 | (6.532191 , 33.456687) |
| 150 |       -27.439491       | 2 | (0 , 1) | (6.532191 , 33.456687) | -0.002122 | (6.532191 , 33.454564) |
| 151 | (6.532191 , 33.454564) | 1 | (1 , 0) | (6.532191 , 33.454564) | -0.000366 | (6.531825 , 33.454564) |
| 151 |       -27.439515       | 2 | (0 , 1) | (6.531825 , 33.454564) | -0.001682 | (6.531825 , 33.452883) |
| 152 | (6.531825 , 33.452883) | 1 | (1 , 0) | (6.531825 , 33.452883) | -0.000366 | (6.531459 , 33.452883) |
| 152 |       -27.439538       | 2 | (0 , 1) | (6.531459 , 33.452883) | -0.001682 | (6.531459 , 33.451201) |
| 153 | (6.531459 , 33.451201) | 1 | (1 , 0) | (6.531459 , 33.451201) | -0.000366 | (6.531094 , 33.451201) |
| 153 |       -27.439561       | 2 | (0 , 1) | (6.531094 , 33.451201) | -0.002122 | (6.531094 , 33.449078) |
| 154 | (6.531094 , 33.449078) | 1 | (1 , 0) | (6.531094 , 33.449078) | -0.000366 | (6.530728 , 33.449078) |
| 154 |       -27.439584       | 2 | (0 , 1) | (6.530728 , 33.449078) | -0.001682 | (6.530728 , 33.447397) |
| 155 | (6.530728 , 33.447397) | 1 | (1 , 0) | (6.530728 , 33.447397) | -0.000366 | (6.530362 , 33.447397) |
| 155 |       -27.439607       | 2 | (0 , 1) | (6.530362 , 33.447397) | -0.001682 | (6.530362 , 33.445715) |
| 156 | (6.530362 , 33.445715) | 1 | (1 , 0) | (6.530362 , 33.445715) | -0.000366 | (6.529997 , 33.445715) |
| 156 |       -27.439629       | 2 | (0 , 1) | (6.529997 , 33.445715) | -0.002122 | (6.529997 , 33.443593) |
| 157 | (6.529997 , 33.443593) | 1 | (1 , 0) | (6.529997 , 33.443593) | -0.000366 | (6.529631 , 33.443593) |
| 157 |       -27.439651       | 2 | (0 , 1) | (6.529631 , 33.443593) | -0.001682 | (6.529631 , 33.441911) |
| 158 | (6.529631 , 33.441911) | 1 | (1 , 0) | (6.529631 , 33.441911) | -0.000366 | (6.529266 , 33.441911) |
| 158 |       -27.439673       | 2 | (0 , 1) | (6.529266 , 33.441911) | -0.001682 | (6.529266 , 33.440229) |
| 159 | (6.529266 , 33.440229) | 1 | (1 , 0) | (6.529266 , 33.440229) | -0.000366 | (6.528900 , 33.440229) |
| 159 |       -27.439694       | 2 | (0 , 1) | (6.528900 , 33.440229) | -0.002122 | (6.528900 , 33.438107) |
| 160 | (6.528900 , 33.438107) | 1 | (1 , 0) | (6.528900 , 33.438107) | -0.000366 | (6.528534 , 33.438107) |
| 160 |       -27.439716       | 2 | (0 , 1) | (6.528534 , 33.438107) | -0.001682 | (6.528534 , 33.436425) |
| 161 | (6.528534 , 33.436425) | 1 | (1 , 0) | (6.528534 , 33.436425) | -0.000366 | (6.528169 , 33.436425) |
| 161 |       -27.439737       | 2 | (0 , 1) | (6.528169 , 33.436425) | -0.001682 | (6.528169 , 33.434743) |
| 162 | (6.528169 , 33.434743) | 1 | (1 , 0) | (6.528169 , 33.434743) | -0.000366 | (6.527803 , 33.434743) |
| 162 |       -27.439757       | 2 | (0 , 1) | (6.527803 , 33.434743) | -0.002122 | (6.527803 , 33.432621) |
| 163 | (6.527803 , 33.432621) | 1 | (1 , 0) | (6.527803 , 33.432621) | -0.000366 | (6.527437 , 33.432621) |
| 163 |       -27.439778       | 2 | (0 , 1) | (6.527437 , 33.432621) | -0.001682 | (6.527437 , 33.430939) |
| 164 | (6.527437 , 33.430939) | 1 | (1 , 0) | (6.527437 , 33.430939) | -0.000366 | (6.527072 , 33.430939) |
| 164 |       -27.439798       | 2 | (0 , 1) | (6.527072 , 33.430939) | -0.001682 | (6.527072 , 33.429258) |
| 165 | (6.527072 , 33.429258) | 1 | (1 , 0) | (6.527072 , 33.429258) | -0.000366 | (6.526706 , 33.429258) |
| 165 |       -27.439818       | 2 | (0 , 1) | (6.526706 , 33.429258) | -0.002122 | (6.526706 , 33.427135) |
| 166 | (6.526706 , 33.427135) | 1 | (1 , 0) | (6.526706 , 33.427135) | -0.000366 | (6.526340 , 33.427135) |
| 166 |       -27.439838       | 2 | (0 , 1) | (6.526340 , 33.427135) | -0.001682 | (6.526340 , 33.425454) |
| 167 | (6.526340 , 33.425454) | 1 | (1 , 0) | (6.526340 , 33.425454) | -0.000366 | (6.525975 , 33.425454) |
| 167 |       -27.439857       | 2 | (0 , 1) | (6.525975 , 33.425454) | -0.001682 | (6.525975 , 33.423772) |
| 168 | (6.525975 , 33.423772) | 1 | (1 , 0) | (6.525975 , 33.423772) | -0.000366 | (6.525609 , 33.423772) |
| 168 |       -27.439876       | 2 | (0 , 1) | (6.525609 , 33.423772) | -0.002122 | (6.525609 , 33.421650) |
| 169 | (6.525609 , 33.421650) | 1 | (1 , 0) | (6.525609 , 33.421650) | -0.000366 | (6.525243 , 33.421650) |
| 169 |       -27.439895       | 2 | (0 , 1) | (6.525243 , 33.421650) | -0.001682 | (6.525243 , 33.419968) |
| 170 | (6.525243 , 33.419968) | 1 | (1 , 0) | (6.525243 , 33.419968) | -0.000366 | (6.524878 , 33.419968) |
| 170 |       -27.439914       | 2 | (0 , 1) | (6.524878 , 33.419968) | -0.001682 | (6.524878 , 33.418286) |
| 171 | (6.524878 , 33.418286) | 1 | (1 , 0) | (6.524878 , 33.418286) | -0.000366 | (6.524512 , 33.418286) |
| 171 |       -27.439932       | 2 | (0 , 1) | (6.524512 , 33.418286) | -0.002122 | (6.524512 , 33.416164) |
| 172 | (6.524512 , 33.416164) | 1 | (1 , 0) | (6.524512 , 33.416164) | -0.000366 | (6.524146 , 33.416164) |
| 172 |       -27.439950       | 2 | (0 , 1) | (6.524146 , 33.416164) | -0.001682 | (6.524146 , 33.414482) |
| 173 | (6.524146 , 33.414482) | 1 | (1 , 0) | (6.524146 , 33.414482) | -0.000366 | (6.523781 , 33.414482) |
| 173 |       -27.439968       | 2 | (0 , 1) | (6.523781 , 33.414482) | -0.001682 | (6.523781 , 33.412800) |
| 174 | (6.523781 , 33.412800) | 1 | (1 , 0) | (6.523781 , 33.412800) | -0.000366 | (6.523415 , 33.412800) |
| 174 |       -27.439985       | 2 | (0 , 1) | (6.523415 , 33.412800) | -0.002122 | (6.523415 , 33.410678) |
| 175 | (6.523415 , 33.410678) | 1 | (1 , 0) | (6.523415 , 33.410678) | -0.000366 | (6.523049 , 33.410678) |
| 175 |       -27.440002       | 2 | (0 , 1) | (6.523049 , 33.410678) | -0.001682 | (6.523049 , 33.408996) |
| 176 | (6.523049 , 33.408996) | 1 | (1 , 0) | (6.523049 , 33.408996) | -0.000366 | (6.522684 , 33.408996) |
| 176 |       -27.440020       | 2 | (0 , 1) | (6.522684 , 33.408996) | -0.001682 | (6.522684 , 33.407314) |
| 177 | (6.522684 , 33.407314) | 1 | (1 , 0) | (6.522684 , 33.407314) | -0.000366 | (6.522318 , 33.407314) |
| 177 |       -27.440036       | 2 | (0 , 1) | (6.522318 , 33.407314) | -0.002122 | (6.522318 , 33.405192) |
| 178 | (6.522318 , 33.405192) | 1 | (1 , 0) | (6.522318 , 33.405192) | -0.000366 | (6.521952 , 33.405192) |
| 178 |       -27.440053       | 2 | (0 , 1) | (6.521952 , 33.405192) | -0.001682 | (6.521952 , 33.403510) |
| 179 | (6.521952 , 33.403510) | 1 | (1 , 0) | (6.521952 , 33.403510) | -0.000366 | (6.521587 , 33.403510) |
| 179 |       -27.440069       | 2 | (0 , 1) | (6.521587 , 33.403510) | -0.001682 | (6.521587 , 33.401829) |
| 180 | (6.521587 , 33.401829) | 1 | (1 , 0) | (6.521587 , 33.401829) | -0.000366 | (6.521221 , 33.401829) |
| 180 |       -27.440085       | 2 | (0 , 1) | (6.521221 , 33.401829) | -0.002122 | (6.521221 , 33.399706) |
| 181 | (6.521221 , 33.399706) | 1 | (1 , 0) | (6.521221 , 33.399706) | -0.000366 | (6.520855 , 33.399706) |
| 181 |       -27.440100       | 2 | (0 , 1) | (6.520855 , 33.399706) | -0.001682 | (6.520855 , 33.398025) |
| 182 | (6.520855 , 33.398025) | 1 | (1 , 0) | (6.520855 , 33.398025) | -0.000366 | (6.520490 , 33.398025) |
| 182 |       -27.440116       | 2 | (0 , 1) | (6.520490 , 33.398025) | -0.001682 | (6.520490 , 33.396343) |
| 183 | (6.520490 , 33.396343) | 1 | (1 , 0) | (6.520490 , 33.396343) | -0.000366 | (6.520124 , 33.396343) |
| 183 |       -27.440131       | 2 | (0 , 1) | (6.520124 , 33.396343) | -0.002122 | (6.520124 , 33.394221) |
| 184 | (6.520124 , 33.394221) | 1 | (1 , 0) | (6.520124 , 33.394221) | -0.000366 | (6.519758 , 33.394221) |
| 184 |       -27.440146       | 2 | (0 , 1) | (6.519758 , 33.394221) | -0.001682 | (6.519758 , 33.392539) |
| 185 | (6.519758 , 33.392539) | 1 | (1 , 0) | (6.519758 , 33.392539) | -0.000366 | (6.519393 , 33.392539) |
| 185 |       -27.440160       | 2 | (0 , 1) | (6.519393 , 33.392539) | -0.001682 | (6.519393 , 33.390857) |
| 186 | (6.519393 , 33.390857) | 1 | (1 , 0) | (6.519393 , 33.390857) | -0.000366 | (6.519027 , 33.390857) |
| 186 |       -27.440175       | 2 | (0 , 1) | (6.519027 , 33.390857) | -0.002122 | (6.519027 , 33.388735) |
| 187 | (6.519027 , 33.388735) | 1 | (1 , 0) | (6.519027 , 33.388735) | -0.000366 | (6.518661 , 33.388735) |
| 187 |       -27.440189       | 2 | (0 , 1) | (6.518661 , 33.388735) | -0.001682 | (6.518661 , 33.387053) |
| 188 | (6.518661 , 33.387053) | 1 | (1 , 0) | (6.518661 , 33.387053) | -0.000366 | (6.518296 , 33.387053) |
| 188 |       -27.440203       | 2 | (0 , 1) | (6.518296 , 33.387053) | -0.001682 | (6.518296 , 33.385371) |
| 189 | (6.518296 , 33.385371) | 1 | (1 , 0) | (6.518296 , 33.385371) | -0.000366 | (6.517930 , 33.385371) |
| 189 |       -27.440216       | 2 | (0 , 1) | (6.517930 , 33.385371) | -0.002122 | (6.517930 , 33.383249) |
| 190 | (6.517930 , 33.383249) | 1 | (1 , 0) | (6.517930 , 33.383249) | -0.000366 | (6.517564 , 33.383249) |
| 190 |       -27.440229       | 2 | (0 , 1) | (6.517564 , 33.383249) | -0.001682 | (6.517564 , 33.381567) |
| 191 | (6.517564 , 33.381567) | 1 | (1 , 0) | (6.517564 , 33.381567) | -0.000366 | (6.517199 , 33.381567) |
| 191 |       -27.440242       | 2 | (0 , 1) | (6.517199 , 33.381567) | -0.001682 | (6.517199 , 33.379886) |
| 192 | (6.517199 , 33.379886) | 1 | (1 , 0) | (6.517199 , 33.379886) |  0.000052 | (6.517250 , 33.379886) |
| 192 |       -27.440255       | 2 | (0 , 1) | (6.517250 , 33.379886) |  0.000210 | (6.517250 , 33.380096) |
+-----+------------------------+---+---------+------------------------+-----------+------------------------+

--------------------   Hooke And Jeeves   --------------------

+---+------------------------+---+------------------------+---------+-----------+------------------------+-------------------------+-----------+------------------------+
| k |         x f(x)         | j |          y(j)          |   d(j)  |   landa   |         y(j+1)         |            d            | landa_had |   y(j) + landa_had*d   |
+---+------------------------+---+------------------------+---------+-----------+------------------------+-------------------------+-----------+------------------------+
| 1 | (6.000000 , 34.000000) | 1 | (6.000000 , 34.000000) | (1 , 0) |  0.639786 | (6.639786 , 34.000000) |            _            |     _     |           _            |
| 1 |       222.000000       | 2 | (6.639786 , 34.000000) | (0 , 1) | -0.007372 | (6.639786 , 33.992628) |  (0.639786 , -0.007372) | -0.002241 | (6.638352 , 33.992645) |
| 2 | (6.639786 , 33.992628) | 1 | (6.638352 , 33.992645) | (1 , 0) |  0.000028 | (6.638379 , 33.992645) |            _            |     _     |           _            |
| 2 |       -27.421011       | 2 | (6.638379 , 33.992645) | (0 , 1) | -0.007022 | (6.638379 , 33.985623) | (-0.001406 , -0.007006) |  1.999636 | (6.635567 , 33.971614) |
| 3 | (6.638379 , 33.985623) | 1 | (6.635567 , 33.971614) | (1 , 0) | -0.001397 | (6.634170 , 33.971614) |            _            |     _     |           _            |
| 3 |       -27.421402       | 2 | (6.634170 , 33.971614) | (0 , 1) | -0.007071 | (6.634170 , 33.964543) | (-0.004210 , -0.021080) |  1.999636 | (6.625752 , 33.922390) |
| 4 | (6.634170 , 33.964543) | 1 | (6.625752 , 33.922390) | (1 , 0) | -0.001309 | (6.624443 , 33.922390) |            _            |     _     |           _            |
| 4 |       -27.422549       | 2 | (6.624443 , 33.922390) | (0 , 1) | -0.006486 | (6.624443 , 33.915904) | (-0.009726 , -0.048639) |  1.999636 | (6.604994 , 33.818644) |
| 5 | (6.624443 , 33.915904) | 1 | (6.604994 , 33.818644) | (1 , 0) | -0.001097 | (6.603897 , 33.818644) |            _            |     _     |           _            |
| 5 |       -27.425065       | 2 | (6.603897 , 33.818644) | (0 , 1) | -0.005443 | (6.603897 , 33.813201) | (-0.020546 , -0.102703) |  1.999636 | (6.562813 , 33.607832) |
| 6 | (6.603897 , 33.813201) | 1 | (6.562813 , 33.607832) | (1 , 0) | -0.000642 | (6.562171 , 33.607832) |            _            |     _     |           _            |
| 6 |       -27.429756       | 2 | (6.562171 , 33.607832) | (0 , 1) | -0.003291 | (6.562171 , 33.604541) | (-0.041727 , -0.208660) |  1.489737 | (6.500009 , 33.293692) |
| 7 | (6.562171 , 33.604541) | 1 | (6.500009 , 33.293692) | (1 , 0) |  0.000028 | (6.500037 , 33.293692) |            _            |     _     |           _            |
| 7 |       -27.436686       | 2 | (6.500037 , 33.293692) | (0 , 1) |  0.000173 | (6.500037 , 33.293865) | (-0.062134 , -0.310676) |  0.000791 | (6.499988 , 33.293619) |
| 8 | (6.500037 , 33.293865) | 1 | (6.499988 , 33.293619) | (1 , 0) |  0.000028 | (6.500015 , 33.293619) |            _            |     _     |           _            |
+---+------------------------+---+------------------------+---------+-----------+------------------------+-------------------------+-----------+------------------------+

--------------------   Steepest And Descent   --------------------

+-----+------------------------+---+------------------------+------------+-------------------------+-----------+------------------------+------------+
|  k  |         x f(x)         | j |          y(j)          |  f(y(j))   |           d(j)          |  landa(j) |         y(j+1)         | f(y(j+1))  |
+-----+------------------------+---+------------------------+------------+-------------------------+-----------+------------------------+------------+
|  1  | (6.000000 , 34.000000) | 1 | (6.000000 , 34.000000) | 222.000000 |  (1.000000 , 0.000000)  |  0.639786 | (6.639786 , 34.000000) | -27.420804 |
|  1  |       222.000000       | 2 | (6.639786 , 34.000000) | -27.420804 |  (0.000000 , 1.000000)  | -0.007372 | (6.632414 , 34.000000) | -27.415345 |
|  2  | (6.632414 , 34.000000) | 1 | (6.632414 , 34.000000) | -27.415345 |  (0.999934 , -0.011521) |  0.007372 | (6.639785 , 33.999915) | -27.420809 |
|  2  |       -27.415345       | 2 | (6.639785 , 33.999915) | -27.420809 | (-0.011521 , -0.999934) |  0.008199 | (6.647984 , 33.999821) | -27.414455 |
|  3  | (6.647984 , 33.999821) | 1 | (6.647984 , 33.999821) | -27.414455 |  (0.659977 , -0.751286) | -0.009817 | (6.641505 , 34.007196) | -27.420392 |
|  3  |       -27.414455       | 2 | (6.641505 , 34.007196) | -27.420392 | (-0.751286 , -0.659977) |  0.000953 | (6.642134 , 34.006480) | -27.420332 |
|  4  | (6.642134 , 34.006480) | 1 | (6.642134 , 34.006480) | -27.420332 |  (-0.729512 , 0.683968) |  0.000953 | (6.641439 , 34.007132) | -27.420398 |
|  4  |       -27.420332       | 2 | (6.641439 , 34.007132) | -27.420398 | (-0.683968 , -0.729512) |  0.001143 | (6.640605 , 34.007914) | -27.420303 |
|  5  | (6.640605 , 34.007914) | 1 | (6.640605 , 34.007914) | -27.420303 | (-0.992529 , -0.122011) | -0.000760 | (6.641359 , 34.008006) | -27.420354 |
|  5  |       -27.420303       | 2 | (6.641359 , 34.008006) | -27.420354 |  (0.122011 , -0.992529) |  0.002983 | (6.638398 , 34.007642) | -27.419542 |
|  6  | (6.638398 , 34.007642) | 1 | (6.638398 , 34.007642) | -27.419542 |  (0.363296 , -0.931674) |  0.006182 | (6.640644 , 34.001883) | -27.420677 |
